Neighborhood,Latitude,Longitude
List of suburbs of Auckland,-36.70918287099994,174.73309179600005
Airport Oaks,-36.79359048580961,174.61801235305123
"Albany, New Zealand",-36.72915999999998,174.70893000000012
"Alfriston, New Zealand",-37.010493372999974,174.9408516090001
Algies Bay,-36.84839904099994,174.76438785300002
"Arch Hill, New Zealand",-36.86301999999995,174.74858000000006
"Ardmore, New Zealand",-36.847859693114465,174.73708327694862
Army Bay,-36.59818999999993,174.81019000000003
Auckland CBD,-36.84839904099994,174.76438785300002
Auckland waterfront,-36.84839904099994,174.76438785300002
"Avondale, Auckland",-36.89044821899995,174.6870174820001
"Balmoral, New Zealand",-36.88819999999998,174.7401900000001
"Bayswater, New Zealand",-36.80819999999994,174.77019000000007
"Bayview, New Zealand",-36.77452705999997,174.7090190230001
"Beach Haven, New Zealand",-36.69486999999998,174.75065000000006
"Belmont, Auckland",-36.80523647199993,174.788186794
"Birkdale, New Zealand",-36.797416829999975,174.70436862300005
"Birkenhead, New Zealand",-36.80892881099993,174.72194536900008
Blockhouse Bay,-36.92819999999995,174.70019000000002
Botany Downs,-36.90945304999997,174.9170680730001
Brookby,-36.98755915999993,174.9893839770001
"Browns Bay, New Zealand",-36.71926010899995,174.73666409700002
Bucklands Beach,-36.858199999999954,174.90019000000007
Campbells Bay,-36.74957706799995,174.75627076500007
Castor Bay,-36.760500193999974,174.7618165660001
Chapel Downs,-36.93828462980225,174.9137180050787
"Chatswood, New Zealand",-36.81839045299995,174.70982627400008
"Cheltenham, New Zealand",-36.81819999999993,174.80019000000004
Clendon Park,-37.02997787399994,174.86153147400012
"Clevedon, New Zealand",-36.84839904099994,174.76438785300002
Clover Park,-36.98283360399995,174.8922078820001
"Cockle Bay, New Zealand",-36.90420999999998,174.93914000000007
Conifer Grove,-36.94639497527219,174.78240005429015
"Crown Hill, New Zealand",-36.7616781355802,174.75272653264665
"Dannemora, New Zealand",-36.92980825799998,174.9238014560001
"Devonport, New Zealand",-36.83032999999995,174.7968800000001
Duders Point,-36.828734952411025,174.8044150810709
East Coast Bays,-36.73150999999996,174.70931000000007
East Tamaki,-36.94182971499998,174.89166707800007
"Eastern Beach, New Zealand",-36.868199999999945,174.90019000000007
Eden Terrace,-36.86413508299995,174.75743271800002
"Eden Valley, New Zealand",-36.871373349733574,174.7591658441738
"Ellerslie, New Zealand",-36.89802999999995,174.8092200000001
"Epsom, New Zealand",-36.873069999999984,174.77728000000002
"Fairview Heights, New Zealand",-36.71042180099994,174.71540690300003
"Farm Cove, New Zealand",-36.88819999999998,174.88019000000008
Favona,-36.94819999999993,174.80019000000004
Flat Bush,-36.971663268999976,174.92774426800008
"Forrest Hill, New Zealand",-36.76442326899996,174.74773184600008
Freemans Bay,-36.85287929799995,174.75035326400007
"The Gardens, Auckland",-37.00227371899996,174.9126798850001
"Glen Eden, New Zealand",-36.921389999999974,174.6480600000001
"Glen Innes, New Zealand",-36.87911999999994,174.85466000000008
"Glendene, New Zealand",-36.89040931599993,174.65424002200007
"Glendowie, New Zealand",-36.86036095299994,174.87265930000012
Glenfield North,-36.801237644491984,174.72460132341354
"Glenfield, New Zealand",-36.78233999999998,174.7211400000001
Goodwood Heights,-36.99377275799998,174.89719260100003
"Grafton, New Zealand",-36.86087999999995,174.76948000000004
"Green Bay, New Zealand",-36.93040999999994,174.6800800000001
"Greenhithe, New Zealand",-36.77080089899994,174.68653588900008
Greenlane,-36.89491322499998,174.79262520600003
"Greenmount, New Zealand",-36.92806423959333,174.9019529181327
"Greenwoods Corner, New Zealand",-36.92865406512159,174.64980256580628
Grey Lynn,-36.861568621999936,174.73955514300008
"Half Moon Bay, Auckland",-36.878199999999936,174.89019000000008
Hatfields Beach,-36.71790854565445,174.69545339617298
Hauraki,-36.84988999999996,174.77719000000002
"Henderson North, New Zealand",-36.85625999999996,174.6295100000001
"Henderson, New Zealand",-36.85625999999996,174.6295100000001
"Herne Bay, New Zealand",-36.84597999999994,174.73394000000008
Highbrook,-36.93719999999996,174.87575000000004
"Highbury, Auckland",-36.80819999999994,174.72019000000012
"Highland Park, New Zealand",-36.89829999999995,174.90694000000008
"Hillcrest, Auckland",-36.79303718299997,174.73520312300002
"Hillpark, Auckland",-36.84839904099994,174.76438785300002
"Hillsborough, Auckland",-36.92389779599995,174.75536291900005
Hingaia,-37.08632496049922,174.90756005742938
"Hobson Street, Auckland",-36.84934850965287,174.76106077821737
Hobsonville,-36.799999999999955,174.66667000000007
Homai,-37.00819999999993,174.8701900000001
"Howick, New Zealand",-36.89372999999995,174.93154000000004
"Huia, New Zealand",-36.99902703099997,174.53936316500005
Hunua,-36.84839904099994,174.76438785300002
Kauri Park,-36.80836999999997,174.7025900000001
